symbol,ensembl_id,r_json,r_lit_donor,p_lit_donor,r_peri_donor,p_peri_donor,same_sign,replicates_peri_p005_same_sign,replicates_both_p005_same_sign,replicates_peri_emp95_same_sign,replicates_both_emp95_same_sign
FTH1,ENSG00000167996,-0.167,-0.626,0.01663,0.3034,0.02576,False,False,False,False,False
MB,ENSG00000198125,-0.1665,-0.8028,0.00055,0.3557,0.00831,False,False,False,False,False
NMRK2,ENSG00000077009,-0.166,-0.456,0.10129,0.2479,0.0707,False,False,False,False,False
BTG2,ENSG00000159388,-0.1655,-0.4973,0.07043,0.3531,0.00882,False,False,False,False,False
SLC26A3,ENSG00000091138,-0.1491,-0.5521,0.04065,-0.3626,0.00704,True,True,True,False,False
SPDYE2,ENSG00000205238,-0.1484,-0.6534,0.01128,0.1618,0.24258,False,False,False,False,False
NR4A3,ENSG00000119508,-0.1472,-0.2861,0.32138,0.032,0.81815,False,False,False,False,False
FABP3,ENSG00000121769,-0.1335,-0.774,0.00116,0.1725,0.21233,False,False,False,False,False
RHOQ-AS1,ENSG00000250116,-0.1284,-0.3765,0.18453,0.235,0.08722,False,False,False,False,False
TMSB4X,ENSG00000205542,-0.1255,-0.5941,0.02507,0.3947,0.00314,False,False,False,False,False
TRIM55,ENSG00000147573,-0.1247,0.0096,0.97409,-0.1131,0.41543,True,False,False,False,False
PLA2G2A,ENSG00000188257,-0.123,-0.5238,0.05455,-0.0506,0.71646,True,False,False,False,False
PRKAG2,ENSG00000106617,-0.1199,-0.4404,0.11504,0.0797,0.5666,False,False,False,False,False
CCN1,ENSG00000142871,-0.1192,-0.0384,0.89635,0.1127,0.41712,False,False,False,False,False
RALYL,ENSG00000184672,-0.1179,-0.4397,0.11563,0.2558,0.06188,False,False,False,False,False
ENSG00000257239,ENSG00000257239,-0.1159,-0.6488,0.01207,-0.0397,0.77574,True,False,False,False,False
TNNC1,ENSG00000114854,-0.112,-0.6957,0.00573,-0.016,0.90855,True,False,False,False,False
B2M,ENSG00000166710,-0.1118,-0.577,0.03074,0.4116,0.00199,False,False,False,False,False
GPX3,ENSG00000211445,-0.1118,-0.6882,0.00651,-0.1806,0.19137,True,False,False,False,False
BHLHE40,ENSG00000134107,-0.1109,-0.6187,0.01832,0.1943,0.15921,False,False,False,False,False
PPP1R3C,ENSG00000119938,-0.1078,-0.7598,0.00162,0.3334,0.01375,False,False,False,False,False
IL1RAPL2,ENSG00000189108,-0.105,-0.4255,0.12932,0.4044,0.00242,False,False,False,False,False
PDE5A,ENSG00000138735,-0.1026,0.0657,0.82344,0.2856,0.03632,False,False,False,False,False
ARHGAP26-AS1,ENSG00000226272,-0.1023,-0.6637,0.00965,0.1171,0.39887,False,False,False,False,False
CYCS,ENSG00000172115,-0.1022,-0.8448,0.00014,0.4313,0.00113,False,False,False,False,False
RUNX1,ENSG00000159216,-0.0993,-0.6154,0.01916,-0.2649,0.05291,True,False,False,False,False
SRP14,ENSG00000140319,-0.0986,-0.7083,0.00458,0.332,0.01418,False,False,False,False,False
RASD1,ENSG00000108551,-0.0978,-0.4692,0.09058,0.3756,0.00513,False,False,False,False,False
USP39,ENSG00000168883,-0.0977,-0.4541,0.1029,0.0894,0.52009,False,False,False,False,False
HSPA5,ENSG00000044574,-0.0967,-0.6512,0.01165,0.2505,0.0677,False,False,False,False,False
SLC24A3,ENSG00000185052,-0.0966,-0.5546,0.03955,-0.069,0.62016,True,False,False,False,False
GADD45B,ENSG00000099860,-0.095,-0.3425,0.23066,0.3566,0.00812,False,False,False,False,False
SPDYE5,ENSG00000170092,-0.0946,-0.4355,0.11959,0.2917,0.03236,False,False,False,False,False
TENM4,ENSG00000149256,-0.0925,-0.3705,0.19217,0.1592,0.25023,False,False,False,False,False
MT-ND4,ENSG00000198886,-0.0918,-0.7046,0.00489,0.3366,0.01282,False,False,False,False,False
PDLIM3,ENSG00000154553,-0.091,-0.0104,0.97181,0.0807,0.56167,False,False,False,False,False
SLC6A1-AS1,ENSG00000232287,-0.0904,-0.3107,0.27961,0.1799,0.19296,False,False,False,False,False
S100A1,ENSG00000160678,-0.0903,-0.7806,0.00099,0.3622,0.00712,False,False,False,False,False
