Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
ITPR2,2.26E-16,0.36,VIT,6.56E-134,4.19,MARCH3,2.39E-29,2.03,MPP3,2.77E-08,2.99
PTPRF,4.19E-16,0.60,COL4A4,3.63E-130,3.85,TUBB6,1.64E-28,1.47,NEXN,3.04E-08,1.98
PLXNA4,5.83E-16,0.47,LHFPL6,3.63E-130,2.16,FNDC3B,6.33E-28,1.04,TECRL,4.38E-08,3.31
LAMA4,6.11E-16,0.51,AC016831.7,9.89E-130,1.90,ETV6,8.13E-28,1.91,TPM2,4.97E-08,2.76
TPRG1,1.04E-15,0.53,TBX20,2.31E-129,3.39,CAMK2D,9.49E-28,1.58,ACTG1,6.75E-08,1.87
GBE1,1.19E-15,0.43,ELN,3.97E-129,3.49,NOD1,9.33E-27,2.00,MYOM2,8.53E-08,3.70
UBE2E2,5.83E-15,0.27,HIF3A,2.50E-127,2.62,COL4A2,2.22E-26,1.05,ABLIM1,9.05E-08,1.38
HACD2,1.91E-14,0.78,CFH,2.90E-126,2.51,AGFG1,2.36E-26,1.42,SRSF5,9.19E-08,1.13
PCK1,3.67E-14,1.09,ARL15,9.64E-122,2.10,IL1RAP,2.48E-26,2.53,DPY19L2,1.14E-07,3.10
CARMN,4.20E-14,0.52,SAMHD1,9.15E-121,2.81,STK17A,2.66E-26,2.29,ACTB,1.19E-07,1.50
ITSN1,6.62E-14,0.37,FYN,1.59E-120,2.51,YBX3,1.04E-25,1.87,CSRP3,1.23E-07,2.95
LINGO1,1.76E-13,0.66,PXDNL,1.69E-119,2.93,UAP1,4.91E-24,2.21,PDLIM3,1.69E-07,2.64
CIDEC,2.12E-13,0.74,PDGFRB,2.50E-118,3.66,PLSCR1,3.47E-23,1.95,LMOD2,1.97E-07,3.72
MARC1,7.37E-13,0.57,SPOCK1,5.90E-117,2.90,THBS1,3.74E-23,2.89,MFGE8,3.39E-07,2.06
PALMD,1.06E-12,0.58,UST,7.78E-117,3.86,ROCK2,1.31E-22,1.70,MYL4,5.05E-07,3.23
DLC1,6.75E-12,0.28,AP002518.2,1.15E-116,2.12,PTPN12,1.66E-22,1.64,NPPA,5.36E-07,2.19
RTN3,9.80E-12,0.46,ZEB1,6.52E-116,1.97,FADS3,1.71E-22,1.50,MLIP,6.16E-07,2.29
PNPLA3,1.40E-11,0.67,RBMS3-AS2,1.59E-115,2.05,FTH1,7.32E-22,1.57,TNNC1,7.14E-07,2.03
BCL2,1.47E-11,0.29,SCN7A,9.19E-115,4.14,AC008957.2,1.98E-21,1.81,NRAP,9.75E-07,4.05
DMD,1.83E-11,0.25,APP,1.31E-114,2.67,JUNB,2.01E-21,1.79,FHL2,1.19E-06,2.41
FASN,2.11E-11,0.39,MAMDC2,2.40E-114,2.97,ADAMTS1,2.29E-21,2.15,VMP1,1.48E-06,1.27
