"pair"	"clusters"	"pvalue"	"mean"
"JAM3_JAM3"	"CMC-like13|CMC-like13"	1e-05	-2.18442457113743
"FFAR2_BMP10"	"CMC-like13|CMC-like13"	1	0
"FFAR2_FAM3C"	"CMC-like13|CMC-like13"	1	0
"HLA-C_FAM3C"	"CMC-like13|CMC-like13"	1	-2.9105018491609
"GPR42_FAM3C"	"CMC-like13|CMC-like13"	1	-4.44222232860507
"LAMP1_FAM3C"	"CMC-like13|CMC-like13"	1	-3.62593428177746
"GLRA2_FAM3C"	"CMC-like13|CMC-like13"	1	-4.35107444054688
"KIR2DL3_FAM3C"	"CMC-like13|CMC-like13"	1	0
"CXADR_FAM3C"	"CMC-like13|CMC-like13"	1	-3.36587144247496
"PDCD1_FAM3C"	"CMC-like13|CMC-like13"	1	0
"ADGRG5_FAM3C"	"CMC-like13|CMC-like13"	1	-4.41119543298445
"FFAR2_CCL4L2"	"CMC-like13|CMC-like13"	1	0
"GPR42_CCL4L2"	"CMC-like13|CMC-like13"	1	0
"PGRMC2_CCL4L2"	"CMC-like13|CMC-like13"	1	0
"FFAR2_TNF"	"CMC-like13|CMC-like13"	1	0
"HLA-C_KIR2DL3"	"CMC-like13|CMC-like13"	1	0
"BMP10_KIR2DL3"	"CMC-like13|CMC-like13"	1	0
"GAST_KIR2DL3"	"CMC-like13|CMC-like13"	1	0
"HLA-C_KIR2DL1"	"CMC-like13|CMC-like13"	1	0
"GPR42_ADIPOQ"	"CMC-like13|CMC-like13"	1	-8.96578428466209
"ASGR2_ADIPOQ"	"CMC-like13|CMC-like13"	1	0
"CNR2_ADIPOQ"	"CMC-like13|CMC-like13"	1	-7.38082178394093
"LAMP1_VSTM1"	"CMC-like13|CMC-like13"	1	0
"KIR2DL3_CXCL9"	"CMC-like13|CMC-like13"	1	0
"CXCR3_CXCL9"	"CMC-like13|CMC-like13"	1	0
"DPP4_CXCL9"	"CMC-like13|CMC-like13"	1	0
"FCGR2A_CXCL9"	"CMC-like13|CMC-like13"	1	0
"PDCD1_CD274"	"CMC-like13|CMC-like13"	1	0
"CD80_CD274"	"CMC-like13|CMC-like13"	1	0
"PDCD1_PDCD1LG2"	"CMC-like13|CMC-like13"	1	0
"EGFR_CNTF"	"CMC-like13|CMC-like13"	1	0
"EGFR_NRG1"	"CMC-like13|CMC-like13"	1	-2.58207999218803
"HLA-DPB1_NRG1"	"CMC-like13|CMC-like13"	1	-5.21089678249862
"ADGRL1_NRG1"	"CMC-like13|CMC-like13"	1	-4.64385618977472
"EGF_NRG1"	"CMC-like13|CMC-like13"	1	-3.77595972578207
"ERBB3_NRG1"	"CMC-like13|CMC-like13"	1	-5.64385618977472
"EGFR_EGF"	"CMC-like13|CMC-like13"	1	-2.25153876699596
"EGFR_TGFA"	"CMC-like13|CMC-like13"	1	-2.66200353648498
"EGFR_TGFB1"	"CMC-like13|CMC-like13"	1e-05	-2.18442457113743
"EGFR_MIF"	"CMC-like13|CMC-like13"	1	-2.67116353577046
"CD74_MIF"	"CMC-like13|CMC-like13"	1	-6.265344566521
"EGFR_AREG"	"CMC-like13|CMC-like13"	1	-2.66200353648498
"ICAM1_AREG"	"CMC-like13|CMC-like13"	1	0
"EGFR_GRN"	"CMC-like13|CMC-like13"	1	-2.55639334852439
"TNFRSF1A_GRN"	"CMC-like13|CMC-like13"	1	-4.21089678249862
"NTRK1_GRN"	"CMC-like13|CMC-like13"	1	-5.44222232860507
"TNFRSF1B_GRN"	"CMC-like13|CMC-like13"	1	-4.44222232860507
"EGFR_BTC"	"CMC-like13|CMC-like13"	1	0
"ERBB3_BTC"	"CMC-like13|CMC-like13"	1	0
"EGFR_COPA"	"CMC-like13|CMC-like13"	1e-05	-1.62593428177746
"CD74_COPA"	"CMC-like13|CMC-like13"	1	-2.47393118833241
"NTRK1_COPA"	"CMC-like13|CMC-like13"	1	-2.49005085369569
"EGFR_EPGN"	"CMC-like13|CMC-like13"	1	-2.70839644196944
"EGFR_HBEGF"	"CMC-like13|CMC-like13"	1	-2.68965987938785
"CD44_HBEGF"	"CMC-like13|CMC-like13"	1	-3.35107444054688
"ERBB4_HBEGF"	"CMC-like13|CMC-like13"	1	-0.251538766995964
"HLA-DPB1_TNFSF13B"	"CMC-like13|CMC-like13"	1	-5.15842936260448
"TNFRSF13B_TNFSF13B"	"CMC-like13|CMC-like13"	1	-5.7178567712185
"TFRC_TNFSF13B"	"CMC-like13|CMC-like13"	1	-3.7178567712185
"CD40_TNFSF13B"	"CMC-like13|CMC-like13"	1	-4.87832144341175
"TNFRSF17_TNFSF13B"	"CMC-like13|CMC-like13"	1	0
"TNFRSF13C_TNFSF13B"	"CMC-like13|CMC-like13"	1	-5.79585928321977
"CD74_APP"	"CMC-like13|CMC-like13"	1	-2.2446850959549
"ICAM1_SPN"	"CMC-like13|CMC-like13"	1	0
"ICAM1_ITGAL"	"CMC-like13|CMC-like13"	1	0
"TNFRSF1A_FASLG"	"CMC-like13|CMC-like13"	1	0
"TNFRSF10B_FASLG"	"CMC-like13|CMC-like13"	1	0
"FAS_FASLG"	"CMC-like13|CMC-like13"	1	0
"NTRK1_NTF3"	"CMC-like13|CMC-like13"	1	-5.21089678249862
"NGFR_NTF3"	"CMC-like13|CMC-like13"	1	-4.96578428466209
"NTRK1_GPI"	"CMC-like13|CMC-like13"	1	-2.07096652135414
"NTRK1_NAMPT"	"CMC-like13|CMC-like13"	1	-2.75633091903314
"ADORA2A_NAMPT"	"CMC-like13|CMC-like13"	1	0
"NTRK1_AIMP1"	"CMC-like13|CMC-like13"	1	-3.98850436116217
"CD44_SELE"	"CMC-like13|CMC-like13"	1	-3.15842936260448
"CEACAM1_SELE"	"CMC-like13|CMC-like13"	1	-5.05889368905357
"ERBB4_NRG4"	"CMC-like13|CMC-like13"	1	-0.222632890549587
"KLRF2_CLEC2A"	"CMC-like13|CMC-like13"	1	0
"NRP1_VEGFA"	"CMC-like13|CMC-like13"	1e-05	0.200378797984026
"NRP2_VEGFA"	"CMC-like13|CMC-like13"	1	-3.38082178394093
"NRP1_PGF"	"CMC-like13|CMC-like13"	1	0.121678556588252
"NRP2_PGF"	"CMC-like13|CMC-like13"	1	-4.83650126771712
"FLT1_PGF"	"CMC-like13|CMC-like13"	1	-1.67116353577046
"NRP1_VEGFB"	"CMC-like13|CMC-like13"	1e-05	0.254594043033141
"FLT1_VEGFB"	"CMC-like13|CMC-like13"	1	-1.25497785096274
"ADRB2_VEGFB"	"CMC-like13|CMC-like13"	1	-2.85725982788392
"NRP1_SEMA3A"	"CMC-like13|CMC-like13"	1	0.151858816727005
"NRP2_SEMA3F"	"CMC-like13|CMC-like13"	1	0
"NRP2_SEMA3C"	"CMC-like13|CMC-like13"	1	-2.85725982788392
"HLA-A_KIR3DL1"	"CMC-like13|CMC-like13"	1	0
"BMP10_KIR3DL1"	"CMC-like13|CMC-like13"	1	0
"HLA-F_KIR3DL1"	"CMC-like13|CMC-like13"	1	0
"BMP10_VSIR"	"CMC-like13|CMC-like13"	1	0
"CCL4L2_VSIR"	"CMC-like13|CMC-like13"	1	0
"TNF_VSIR"	"CMC-like13|CMC-like13"	1	0
"HLA-F_KIR3DL2"	"CMC-like13|CMC-like13"	1	-4.608232280044
"HLA-B_KIR3DL2"	"CMC-like13|CMC-like13"	1	-3.83650126771712
"HLA-F_LILRB2"	"CMC-like13|CMC-like13"	1	0
"CD1D_LILRB2"	"CMC-like13|CMC-like13"	1	0
"HLA-G_LILRB2"	"CMC-like13|CMC-like13"	1	0
"HLA-F_LILRB1"	"CMC-like13|CMC-like13"	1	0
"HLA-G_LILRB1"	"CMC-like13|CMC-like13"	1	0
"GAST_CCKBR"	"CMC-like13|CMC-like13"	1	0
"CCK_CCKBR"	"CMC-like13|CMC-like13"	1	0
"CCL4_CCR5"	"CMC-like13|CMC-like13"	1	-8.96578428466209
"CCL3_CCR5"	"CMC-like13|CMC-like13"	1	0
"CCL5_CCR5"	"CMC-like13|CMC-like13"	1	0
"CCL4_SLC7A1"	"CMC-like13|CMC-like13"	1	-5.44222232860507
"CSF1_SLC7A1"	"CMC-like13|CMC-like13"	1	-4.38082178394093
"CCL4_CNR2"	"CMC-like13|CMC-like13"	1	-7.38082178394093
"CCL4_GPRC5D"	"CMC-like13|CMC-like13"	1	-8.96578428466209
"CCL3_IDE"	"CMC-like13|CMC-like13"	1	0
"IAPP_IDE"	"CMC-like13|CMC-like13"	1	0
"IGF1_IGF1R"	"CMC-like13|CMC-like13"	1	-1.3040061868901
"BDNF_NTRK2"	"CMC-like13|CMC-like13"	1	-3.52284078881336
"NTF3_NTRK2"	"CMC-like13|CMC-like13"	1	-4.18442457113743
"BDNF_SORT1"	"CMC-like13|CMC-like13"	1	-2.07704103576383
"GRN_SORT1"	"CMC-like13|CMC-like13"	1	-2.31473259348316
"COPA_SORT1"	"CMC-like13|CMC-like13"	1e-05	-1.49005085369569
"BDNF_F11R"	"CMC-like13|CMC-like13"	1	0
"ADIPOQ_CD200R1"	"CMC-like13|CMC-like13"	1	0
"CD200_CD200R1"	"CMC-like13|CMC-like13"	1	0
"ADIPOQ_PROKR2"	"CMC-like13|CMC-like13"	1	0
"PROK1_PROKR2"	"CMC-like13|CMC-like13"	1	0
"ADIPOQ_CLEC2D"	"CMC-like13|CMC-like13"	1	-3.85725982788392
"KLRB1_CLEC2D"	"CMC-like13|CMC-like13"	1	-3.83650126771712
"FAM3C_CLEC2D"	"CMC-like13|CMC-like13"	1	-3.15842936260448
"CCL4L2_GPR151"	"CMC-like13|CMC-like13"	1	0
"GAL_GPR151"	"CMC-like13|CMC-like13"	1	0
"TNF_DAG1"	"CMC-like13|CMC-like13"	1	0
"LGALS9_DAG1"	"CMC-like13|CMC-like13"	1	0
"TNF_NOTCH1"	"CMC-like13|CMC-like13"	1	0
"DLL1_NOTCH1"	"CMC-like13|CMC-like13"	1	-4.41119543298445
"TNF_SEMA4C"	"CMC-like13|CMC-like13"	1	0
"PLXNB2_SEMA4C"	"CMC-like13|CMC-like13"	1	-5.64385618977472
"TNF_FLT4"	"CMC-like13|CMC-like13"	1	0
"VEGFD_FLT4"	"CMC-like13|CMC-like13"	1	-4.64385618977472
"TNF_ICOS"	"CMC-like13|CMC-like13"	1	0
"ICOSLG_ICOS"	"CMC-like13|CMC-like13"	1	0
"TNF_TNFRSF1A"	"CMC-like13|CMC-like13"	1	0
"LTA_TNFRSF1A"	"CMC-like13|CMC-like13"	1	0
"TNFSF13_TNFRSF1A"	"CMC-like13|CMC-like13"	1	0
"TNF_FAS"	"CMC-like13|CMC-like13"	1	0
"TNFSF13_FAS"	"CMC-like13|CMC-like13"	1	0
"TNF_TNFRSF1B"	"CMC-like13|CMC-like13"	1	0
"LTA_TNFRSF1B"	"CMC-like13|CMC-like13"	1	0
"TNF_RIPK1"	"CMC-like13|CMC-like13"	1	0
"LTA_RIPK1"	"CMC-like13|CMC-like13"	1	0
