,FB1_na,FB1_pv,FB1_lo,FB2_na,FB2_pv,FB2_lo,FB3_na,FB3_pv,FB3_lo,FB4_na,FB4_pv,FB4_lo,FB5_na,FB5_pv,FB5_lo,FB6_na,FB6_pv,FB6_lo,FB7_na,FB7_pv,FB7_lo
45,LHFPL6,2.05171019048779e-55,0.33369848,MAPK10,5.232255119214075e-100,0.7043285,LITAF,4.998145189651129e-134,1.5047739,FOXP1,1.2700218704972846e-89,0.91411823,PTGIS,7.762060682554881e-41,0.9329697,THUMPD1,2.5772562013067668e-68,1.5573334,DTNA,5.032497784109775e-151,4.382454
46,NCOA1,1.728503403758092e-52,0.3143354,PRKD1,3.7104860625004346e-98,0.92962635,MT1A,8.502525198523086e-133,3.0587542,MAML3,2.9798011376549177e-89,1.4381324,TMSB10,1.2071839803521113e-40,1.4974085,RIPOR3,4.667419548297981e-68,1.586225,RCAN2,7.16250430115886e-149,3.8855746
47,BMPER,4.0639437435190585e-51,1.1034305,AC084357.2,1.0442822537204738e-95,1.1521338,FGF7,2.219649955139772e-132,1.3286415,SRPX2,6.198609804971049e-87,0.9519873,PMP22,3.0702332790099856e-40,1.0046499,AL138828.1,4.762651533606318e-68,1.9353801,HSPB7,1.072814451888255e-142,3.568977
48,AC007319.1,8.995690870346604e-50,0.39627695,MTHFD1L,1.3275134779736199e-95,1.2023453,PNRC1,4.494073208243759e-130,1.3228362,EMILIN1,3.3214416868681246e-81,1.4358819,CD55,1.2402495590097694e-39,2.21327,ARHGAP26,1.957196819781971e-67,1.3690096,MYOM2,5.776174224665948e-142,4.4395866
49,PLXDC1,2.616619003535338e-49,0.8269506,NAV2,1.3495603722113634e-95,1.4092443,NNMT,3.515659365888991e-128,0.9951468,COL6A2,1.209703736666487e-80,0.6308064,C1S,3.386413784228119e-39,0.8392257,SYNE1,4.239404352287067e-67,1.4650495,PDE3A,2.058799558117023e-139,2.4450505
50,SLIT2,6.570253293303982e-49,0.42912278,NFIA,3.042315077055361e-95,0.47115514,CBLB,3.450194812646239e-126,0.8547109,FGF14,1.7950261620997482e-79,1.151744,TIMP3,5.869024161479605e-39,0.759493,PDE8A,2.5245575364945446e-66,1.4283578,CKMT2,1.0137546420555468e-135,3.712122
51,FBXL7,4.044489360112666e-46,0.29641846,ID2,8.335926245538563e-94,1.0782454,CFH,1.1341630511621744e-121,0.9160715,PRRX1,1.2685627829933275e-78,1.1632624,CD34,6.231388826057262e-39,1.3481385,NR2F2,6.258883049075098e-66,2.6217163,PKP2,1.1968868881531667e-134,3.6812072
52,RYR2,1.4074726380018835e-45,0.4552149,DLG2,1.898922331366917e-92,0.61239004,COL4A1,5.5279254214104564e-117,0.91350454,ITGAV,8.015573658960589e-78,1.4900773,MMP2,1.8610154060209122e-38,1.1263529,FRY,2.7024807610172656e-65,1.5363898,TCAP,6.707727799287823e-132,2.5343938
53,EBF2,4.0567584350443395e-45,0.3754904,GSN,2.560736746806481e-92,0.46042547,PVT1,2.967552234208514e-116,1.9990017,SVIL,6.203499555617267e-75,0.81517935,NTN4,2.538357667725727e-38,1.4629247,A2M,2.740866018753136e-65,2.0197783,SLC8A1-AS1,2.35455823855096e-131,3.8856905
54,KCNMB2-AS1,2.555919272900614e-42,1.1530758,FBLN2,3.83709786295789e-92,0.75942403,NEAT1,9.732678467620301e-116,0.43205786,MYO1D,6.091863743464964e-73,1.1853763,AXL,7.746227116719522e-38,1.0432231,ARHGAP10,3.673401117479106e-65,1.2266943,PLN,5.949672472052822e-130,3.0221016
