"pair"	"clusters"	"pvalue"	"mean"
"HLA-DPA1_TNFSF9"	"SKM0_SMC|SKM0_SMC"	1	-4.64385618977472
"PVR_TNFSF9"	"SKM0_SMC|SKM0_SMC"	1	-6.265344566521
"HLA-DPA1_GAL"	"SKM0_SMC|SKM0_SMC"	1	-4.64385618977472
"GALR2_GAL"	"SKM0_SMC|SKM0_SMC"	1	0
"GALR3_GAL"	"SKM0_SMC|SKM0_SMC"	1	0
"PVR_CD96"	"SKM0_SMC|SKM0_SMC"	1	-6.265344566521
"PVR_CD226"	"SKM0_SMC|SKM0_SMC"	1	-6.265344566521
"PVR_TIGIT"	"SKM0_SMC|SKM0_SMC"	1	0
"PVR_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	-5.38082178394093
"CADM3_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	-6.38082178394093
"CADM1_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	-5.64385618977472
"NECTIN1_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	-5.50635266602479
"TIGIT_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	0
"NECTIN2_NECTIN3"	"SKM0_SMC|SKM0_SMC"	1	-4.08314123530025
"CADM3_CADM1"	"SKM0_SMC|SKM0_SMC"	1	-6.79585928321977
"CADM1_CADM1"	"SKM0_SMC|SKM0_SMC"	1	-5.87832144341175
"CRTAM_CADM1"	"SKM0_SMC|SKM0_SMC"	1	-6.79585928321977
"CADM3_CADM4"	"SKM0_SMC|SKM0_SMC"	1	-7.96578428466209
"CADM3_EPB41L1"	"SKM0_SMC|SKM0_SMC"	1	-4.87832144341175
"NECTIN1_CADM3"	"SKM0_SMC|SKM0_SMC"	1	-6.50635266602479
"TIGIT_NECTIN2"	"SKM0_SMC|SKM0_SMC"	1	0
"CD226_NECTIN2"	"SKM0_SMC|SKM0_SMC"	1	-4.38082178394093
"FGF2_CD44"	"SKM0_SMC|SKM0_SMC"	1	-3.62593428177746
"SPP1_CD44"	"SKM0_SMC|SKM0_SMC"	1	-3.66200353648498
"LGALS9_CD44"	"SKM0_SMC|SKM0_SMC"	1	-3.62593428177746
"HGF_CD44"	"SKM0_SMC|SKM0_SMC"	1	-3.27928375747887
"FGF2_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-7.64385618977472
"FGF1_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-4.64385618977472
"TNFRSF10A_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-8.38082178394093
"FGF17_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	0
"FGF18_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-7.38082178394093
"FGF19_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-8.38082178394093
"FGF7_FGFR4"	"SKM0_SMC|SKM0_SMC"	1	-5.87832144341175
"FGF2_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	-2.84684321193858
"FGF1_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	-2.52284078881336
"FGF17_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	0
"FGF18_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	-2.83650126771712
"FGF19_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	-2.86775220170156
"FGF10_FGFR1"	"SKM0_SMC|SKM0_SMC"	1	-2.86775220170156
"FGF2_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-8.96578428466209
"FGF1_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-4.75633091903314
"CD44_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-3.66200353648498
"FGF17_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	0
"FGF18_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-8.38082178394093
"FGF7_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-6.05889368905357
"FGF10_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	0
"TIMP1_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-1.04990490582631
"FGFR1_FGFR2"	"SKM0_SMC|SKM0_SMC"	1	-2.86775220170156
"FGF2_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	-7.96578428466209
"FGF1_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	-4.68038206579984
"FGF17_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	0
"FGF18_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	-7.64385618977472
"FGF7_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	-5.96578428466209
"FGFR2_FGFR3"	"SKM0_SMC|SKM0_SMC"	1	-8.96578428466209
