stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage3_Quads,MITF+CREB1+REL+SP3,4,4.0447,4.1653,-0.0674,-0.0543,0.00481,0.00481,0.00325,0.02075,-0.00574,0.0052,0.00166,0.02736,0.03426,0.00319,0.1987,COMPUTED_HCA_5307_vCM_RIDGE_GRN,131.0
Stage3_Quads,MITF+CREB1+REL+YY1,4,4.032,4.1434,-0.0545,-0.0488,0.00577,0.00577,0.00197,0.02975,-0.00029,0.00454,-0.00053,0.06343,0.04754,0.00127,0.2013,COMPUTED_HCA_5307_vCM_RIDGE_GRN,132.0
Stage3_Quads,NFKB1+YY1+JUND+NFIC,4,4.008,4.0258,0.2555,0.2455,0.0004,0.0004,-0.00037,0.02614,-0.00183,0.01071,0.00371,0.07972,0.01806,0.00309,0.1368,COMPUTED_HCA_5307_vCM_RIDGE_GRN,133.0
Stage3_Quads,MITF+REL+SP3+NFIC,4,4.0046,4.0894,-0.06,-0.0534,0.0018,0.0018,0.00553,0.01925,-0.00557,0.00563,0.00472,0.02149,0.01691,0.00381,0.1902,COMPUTED_HCA_5307_vCM_RIDGE_GRN,134.0
Stage3_Quads,NFKB1+CTCF+YY1+SP3,4,4.0045,4.0404,0.3085,0.3033,-0.00069,-0.00069,-0.00061,0.06494,-0.00569,0.00992,0.00262,0.11518,0.01954,0.0027,0.1463,COMPUTED_HCA_5307_vCM_RIDGE_GRN,135.0
Stage3_Quads,MITF+REL+YY1+JUND,4,3.9827,4.0647,-0.07,-0.0586,0.00606,0.00606,0.00302,0.01466,-0.00143,0.00272,-0.00207,0.05934,0.03328,-0.00146,0.1973,COMPUTED_HCA_5307_vCM_RIDGE_GRN,136.0
Stage3_Quads,CREB1+HIF1A+REL+NFIC,4,3.952,4.0608,0.2511,0.2641,0.00016,0.00016,-0.00104,0.02406,-0.0001,0.00781,0.00777,0.05491,0.02384,0.00729,0.1546,COMPUTED_HCA_5307_vCM_RIDGE_GRN,137.0
Stage3_Quads,MITF+REL+JUND+NFIC,4,3.9433,4.0195,-0.071,-0.0616,0.00422,0.00422,0.00632,0.00772,-0.00122,0.00415,0.00187,0.02041,0.02464,0.00134,0.1914,COMPUTED_HCA_5307_vCM_RIDGE_GRN,138.0
Stage3_Quads,CREB1+HIF1A+REL+YY1,4,3.9263,4.041,0.2467,0.2617,0.00212,0.00212,-0.00458,0.03123,-0.00035,0.00616,0.00323,0.09726,0.03158,0.00405,0.148,COMPUTED_HCA_5307_vCM_RIDGE_GRN,139.0
Stage3_Quads,CREB1+HIF1A+REL+SP3,4,3.9207,4.0447,0.2327,0.2551,0.00117,0.00117,-0.00326,0.02219,-0.00554,0.00682,0.0054,0.06107,0.01893,0.00597,0.1517,COMPUTED_HCA_5307_vCM_RIDGE_GRN,140.0
Stage3_Quads,CTCF+HIF1A+JUND+NFIC,4,3.9028,3.9847,0.3493,0.3669,0.00093,0.00093,0.00351,0.06592,-0.00093,0.00187,0.00618,0.10488,0.00598,0.00449,0.1369,COMPUTED_HCA_5307_vCM_RIDGE_GRN,141.0
Stage3_Quads,CTCF+CREB1+REL+YY1,4,3.8994,3.9473,0.2746,0.2641,0.00207,0.00207,-0.00484,0.06621,-0.00039,0.00549,-0.00076,0.11142,0.0366,0.00107,0.1541,COMPUTED_HCA_5307_vCM_RIDGE_GRN,142.0
Stage3_Quads,CTCF+CREB1+SP3+NFIC,4,3.8982,3.9484,0.2548,0.243,0.00038,0.00038,-0.00204,0.07315,-0.00554,0.00369,0.00532,0.07256,0.01585,0.00577,0.1504,COMPUTED_HCA_5307_vCM_RIDGE_GRN,143.0
Stage3_Quads,MITF+REL+JUND+SP3,4,3.8975,3.9888,-0.0889,-0.0702,0.00517,0.00517,0.00462,0.00637,-0.00583,0.00327,-0.00013,0.02581,0.02154,0.00029,0.1921,COMPUTED_HCA_5307_vCM_RIDGE_GRN,144.0
Stage3_Quads,NFKB1+YY1+JUND+SP3,4,3.8623,3.8954,0.2288,0.2282,0.00134,0.00134,-0.00191,0.02335,-0.00574,0.00974,0.00159,0.08147,0.01576,0.00194,0.1334,COMPUTED_HCA_5307_vCM_RIDGE_GRN,145.0
Stage3_Quads,MITF+CREB1+REL+JUND,4,3.8547,3.9666,-0.0896,-0.0737,0.00711,0.00711,0.0045,0.00901,-0.00131,0.00368,-0.00122,0.02522,0.03929,0.0007,0.2005,COMPUTED_HCA_5307_vCM_RIDGE_GRN,146.0
Stage3_Quads,CTCF+HIF1A+JUND+SP3,4,3.848,3.9451,0.3286,0.3556,0.00185,0.00185,0.00178,0.06328,-0.0056,0.00103,0.00424,0.1093,0.00272,0.00348,0.1348,COMPUTED_HCA_5307_vCM_RIDGE_GRN,147.0
Stage3_Quads,CTCF+HIF1A+SP3+NFIC,4,3.8082,3.8989,0.3728,0.3876,-0.00179,-0.00179,0.00258,0.0761,-0.00534,0.00339,0.00908,0.10527,-0.00191,0.00699,0.1507,COMPUTED_HCA_5307_vCM_RIDGE_GRN,148.0
Stage3_Quads,MITF+CREB1+YY1+NFIC,4,3.8081,3.9126,-0.0857,-0.0886,0.00487,0.00487,0.00395,0.03484,0.00022,0.00228,0.00396,0.04958,0.04031,0.00447,0.1941,COMPUTED_HCA_5307_vCM_RIDGE_GRN,149.0
Stage3_Quads,CREB1+HIF1A+REL+JUND,4,3.8033,3.9186,0.2116,0.2368,0.00359,0.00359,-0.00193,0.01045,-0.00137,0.0053,0.00252,0.05946,0.02335,0.00348,0.139,COMPUTED_HCA_5307_vCM_RIDGE_GRN,150.0
