source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	dorothea_level	curation_effort
Q04206	P08123	RELA	COL1A2	True	True	True	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI2:12393755;CollecTRI2:8621730;DoRothEA:10201951;CollecTRI2:12393033;CollecTRI2:17538965;CollecTRI2:14603527;CollecTRI:10201951;CollecTRI2:10201951;CollecTRI2:38059912;TRRUST:10201951;CollecTRI2:14722113;CollecTRI2:29927450;HTRIdb:10201951	A	13
P23771	Q9P109	GATA3	GCNT4	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q6N021	GATA3	TET2	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q9NVM6	GATA3	DNAJC17	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	Q86SR1	GATA3	GALNT10	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q9HC58	GATA3	SLC24A3	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q53EP0	GATA3	FNDC3B	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q9BV99	GATA3	LRRC61	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	Q2QGD7	GATA3	ZXDC	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI2:19735555;DoRothEA:19735555;CollecTRI:19735555;HTRIdb:19735555	A	4
P23771	Q9C093	GATA3	SPEF2	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q86XK2	GATA3	FBXO11	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
